member,seed,r2,rmse,mae
0,1000,-0.009286337993472005,1.1787603075557729,1.1159980618884788
1,1001,0.21050958906492012,1.042537615161868,0.9875044459085156
2,1002,0.0971495270147843,1.1148751150819065,1.0471489307567425
3,1003,-0.169454912708064,1.2688493013782887,1.2133672057290883
4,1004,0.0299106790414575,1.1556442635440682,1.1010990779849912
5,1005,0.14448447988086688,1.0852561391984183,1.0112350518170503
6,1006,0.26956562440579046,1.0027874867141118,0.969821057213768
7,1007,0.014069384269270513,1.1650417336280476,1.1115768029927549
8,1008,0.25814748343983285,1.0105948809341352,0.9451081182503288
9,1009,-0.07821472065162882,1.2183468183960822,1.155677739739458
10,1010,-0.19237872357012686,1.2812250344288934,1.2467314413366195
11,1011,0.07899868365238916,1.1260260291669302,1.0829084381391338
12,1012,-0.09738625932811473,1.2291306965609314,1.1507889376871359
13,1013,0.25761309926790854,1.0109587996616938,0.9722402665792033
14,1014,-0.0563467824437065,1.205928512687385,1.1341745262856948
15,1015,-0.003158142573991496,1.175176253271646,1.096466910566979
16,1016,0.5605779019436986,0.7777844427661766,0.748670916448855
17,1017,0.023020441774867062,1.1597410884650659,1.1001316741780067
18,1018,0.06540438599010978,1.1343058594266344,1.0770594371694984
19,1019,0.005121601929425235,1.1703164383992783,1.114728282295849
